false_positive_rate,true_positive_rate,threshold
0.019042285074208905,0.42059748427672955,0.7924584
0.019042285074208905,0.425314465408805,0.78826886
0.019602352282273874,0.425314465408805,0.7857568
0.019602352282273874,0.4268867924528302,0.7855827
0.019742369084290116,0.4268867924528302,0.78555685
0.019742369084290116,0.4276729559748428,0.78520316
0.019882385886306357,0.4276729559748428,0.7845633
0.019882385886306357,0.42924528301886794,0.78372437
0.02030243629235508,0.42924528301886794,0.78273076
0.02030243629235508,0.43160377358490565,0.7762775
0.02072248669840381,0.43160377358490565,0.7737755
0.02072248669840381,0.43238993710691825,0.773651
0.02086250350042005,0.43238993710691825,0.7727497
0.02086250350042005,0.4331761006289308,0.77156705
0.02100252030243629,0.4331761006289308,0.7710553
0.02100252030243629,0.4339622641509434,0.77031416
0.021142537104452533,0.4339622641509434,0.7695423
0.021142537104452533,0.43474842767295596,0.76898485
0.021282553906468778,0.43474842767295596,0.76897925
0.021282553906468778,0.4371069182389937,0.7674144
0.02142257070848502,0.4371069182389937,0.76731664
0.02142257070848502,0.4441823899371069,0.7632305
0.021702604312517502,0.4441823899371069,0.7626133
0.021702604312517502,0.4449685534591195,0.76259625
0.021842621114533743,0.4449685534591195,0.7620097
0.021842621114533743,0.44654088050314467,0.76175743
0.021982637916549985,0.44654088050314467,0.76160127
0.021982637916549985,0.4481132075471698,0.76075536
0.022402688322598712,0.4481132075471698,0.7601106
0.022402688322598712,0.449685534591195,0.7583604
0.022682721926631195,0.449685534591195,0.7574058
0.022682721926631195,0.45047169811320753,0.7570216
0.02296275553066368,0.45047169811320753,0.75653106
0.02296275553066368,0.4520440251572327,0.75634295
0.023102772332679922,0.4520440251572327,0.7560431
0.023102772332679922,0.45361635220125784,0.7554055
0.023242789134696164,0.45361635220125784,0.754908
0.023242789134696164,0.455188679245283,0.75413036
0.023382805936712405,0.455188679245283,0.7527419
0.023382805936712405,0.4559748427672956,0.75243044
0.023522822738728646,0.4559748427672956,0.7523455
0.023522822738728646,0.45676100628930816,0.75221384
0.024222906748809857,0.45676100628930816,0.7495083
0.024222906748809857,0.45754716981132076,0.7487953
0.024642957154858584,0.45754716981132076,0.7472137
0.024642957154858584,0.4583333333333333,0.7457791
0.024782973956874826,0.4583333333333333,0.74556553
0.024782973956874826,0.4606918238993711,0.7440373
0.024922990758891067,0.4606918238993711,0.7439116
0.024922990758891067,0.46147798742138363,0.7437259
0.025623074768972277,0.46147798742138363,0.74143296
0.025623074768972277,0.4630503144654088,0.74100184
0.02576309157098852,0.4630503144654088,0.74046254
0.02576309157098852,0.4638364779874214,0.7403429
0.02590310837300476,0.4638364779874214,0.7400262
0.02590310837300476,0.46540880503144655,0.739711
0.026043125175021,0.46540880503144655,0.7393664
0.026043125175021,0.4661949685534591,0.738486
0.02660319238308597,0.4661949685534591,0.7358493
0.02660319238308597,0.46855345911949686,0.7348597
0.026883225987118453,0.46855345911949686,0.7335746
0.026883225987118453,0.47091194968553457,0.73277706
0.02730327639316718,0.47091194968553457,0.73133326
0.02730327639316718,0.4740566037735849,0.73061895
0.027583309997199663,0.4740566037735849,0.72852415
0.027583309997199663,0.4748427672955975,0.7277796
0.027723326799215905,0.4748427672955975,0.7270641
0.027723326799215905,0.47562893081761004,0.72692966
0.027863343601232146,0.47562893081761004,0.72645
0.027863343601232146,0.47641509433962265,0.7264459
0.028423410809297115,0.47641509433962265,0.7244155
0.028423410809297115,0.4772012578616352,0.72437066
0.0287034444133296,0.4772012578616352,0.7228128
0.0287034444133296,0.4779874213836478,0.72240067
0.028843461215345843,0.4779874213836478,0.722332
0.028843461215345843,0.47877358490566035,0.721608
0.029263511621394567,0.47877358490566035,0.7206475
0.029263511621394567,0.47955974842767296,0.7201484
0.029543545225427053,0.47955974842767296,0.718728
0.029543545225427053,0.4803459119496855,0.71752745
0.03010361243349202,0.4803459119496855,0.7167765
0.03010361243349202,0.4811320754716981,0.7159853
0.030383646037524505,0.4811320754716981,0.71580595
0.030383646037524505,0.48191823899371067,0.7154804
0.031783814057686925,0.48191823899371067,0.7130346
0.031783814057686925,0.4827044025157233,0.7129334
0.03192383085970316,0.4827044025157233,0.7126608
0.03192383085970316,0.4834905660377358,0.71254855
0.032483898067768135,0.4834905660377358,0.7107921
0.032483898067768135,0.48427672955974843,0.7107572
0.03262391486978437,0.48427672955974843,0.7105876
0.03262391486978437,0.4858490566037736,0.7103292
0.03276393167180062,0.4858490566037736,0.7097331
0.03276393167180062,0.48663522012578614,0.7096152
0.03318398207784934,0.48663522012578614,0.707626
0.03318398207784934,0.48742138364779874,0.70738083
0.033323998879865584,0.48742138364779874,0.7073777
0.033323998879865584,0.4882075471698113,0.7070092
0.03346401568188183,0.4882075471698113,0.7065165
0.03346401568188183,0.4889937106918239,0.70648175
